date,SPY,QQQ,IWM,EFA,EEM,AGG,TLT,GLD,USO,VNQ,GSG,HYG
2017-01-10,197.01128285303045,115.89870445896734,124.74659015047413,47.45762941061774,31.161303781743047,89.99239845152377,100.43170637067817,113.15,88.56,63.53678855484231,15.2,59.75537692164843
2017-01-11,197.56805676505573,116.21066671403636,124.96658560668779,47.70710991116534,31.532271683906654,90.10028310477624,100.76991581307635,113.5,90.96,63.145533276371296,15.4,59.78963246906969
2017-01-12,197.0721731351254,116.03105208232995,124.00410548575312,47.779539733904954,31.670306252153583,90.13347838270009,100.54719252174097,113.91,92.32,63.46774350570037,15.64,59.8033346880382
2017-01-13,197.5245561253313,116.42809495241777,124.90242026529212,47.95659041171293,31.644424770607284,89.97580081256186,100.06874989590939,114.21,91.28,63.375683440177774,15.61,59.82388801649095
2017-01-17,196.82858503796717,116.07831909067376,123.20662195697868,47.779539733904954,31.627170449576415,90.28285713335737,101.11637426626473,115.85,91.44,63.866670456298266,15.62,59.76222803113268
2017-01-18,197.26356533639364,116.31465413239269,123.609946960037,47.642727846507896,31.454627239267765,89.89281261775226,99.82127957220342,114.87,89.28,63.974073866074626,15.41,59.817036907006695
2017-01-19,196.53280191487957,116.25793372238014,122.60163445239118,47.522011475275185,31.359728473598004,89.6604456722854,99.13661167661687,114.77,89.36,63.321981735289604,15.38,59.62520584144763
2017-01-20,197.25487008022807,116.51317556743659,123.23412138900538,47.795635250069324,31.420118597206034,89.69364095020924,98.93863541765207,115.05,91.12,63.78228206290256,15.56,59.74167470267992
2017-01-23,196.74158375851832,116.60770958412417,122.72079865784023,47.91635162130203,31.885985265039402,89.94260553463802,99.92851671247601,115.79,90.56,64.31929911178435,15.56,59.74167470267992
2017-01-24,198.00303706348217,117.39234192263105,124.59992651299838,48.03706799253473,32.08440995689435,89.80152560346171,99.24384881688945,115.27,90.96,64.33464245603811,15.57,59.78278135958544
2017-01-25,199.71686030924297,118.57401713122574,125.77323561280444,48.53602899362992,32.4381235380271,89.56085983851389,97.99824818756933,114.32,90.48,63.91270048905957,15.53,59.99516575359725
2017-01-26,199.5080654161953,118.69691135291959,125.26907935898151,48.34288279965759,32.30008896978017,89.6189515748806,98.32820861917732,113.26,92.24,63.78995373502944,15.61,59.96776131566025
2017-01-27,199.19487873136765,118.92379299296977,124.83825492389649,48.26240521883578,32.32597045132647,89.69364095020924,98.68291608315589,113.49,91.2,63.16854829275195,15.48,60.022570191534264
2017-01-30,197.95953642375773,117.99735962943151,123.09662422887185,47.91635162130203,32.153427241017816,89.65214685280445,98.38595169470871,113.97,90.24,62.73893465364652,15.34,59.89925022081773
2017-01-31,197.9421337319783,117.76102458771258,123.95827309904193,47.98878144404165,32.21381736462585,89.86791615930939,99.07061959029527,115.55,90.56,63.1915633091326,15.43,59.83759023545946
2017-02-01,198.02042670585266,118.57401713122574,123.88494128030406,48.181927638013974,32.23107168565671,89.74181559729622,98.45949905001304,115.2,91.84,62.4320677685712,15.62,60.05832818726543
2017-02-02,198.15092862502595,118.47002971286939,123.57328105066807,48.20607091226052,32.36910625390364,89.79170911968167,98.41816424772503,115.84,92.08,63.176219964878825,15.62,60.092733737326874
2017-02-03,199.51675980240026,118.81035217294468,125.46157538316845,48.39921710623285,32.567530945758584,89.81665588087439,98.37682944543704,116.13,92.32,63.521445210588546,15.61,60.195950387511225
2017-02-06,199.16007334780875,118.95215319797603,124.51742821691826,48.05316350869909,32.48988650111969,90.07443907986588,98.97205059838421,117.7,91.04,63.414041800812186,15.46,60.15466372743749
2017-02-07,199.16878078342265,119.38700967473889,123.96743957638418,48.00487696020601,32.32597045132647,90.16591053757254,99.699543118653,117.46,89.52,63.1915633091326,15.35,60.065209297277725
2017-02-08,199.42977157236032,119.58553110978279,123.74744412017054,48.08535454102781,32.52439514318142,90.42369373656403,101.05532463369936,118.19,89.84,63.690221997379965,15.44,60.106495957351456
2017-02-09,200.61291885404086,120.02038758654564,125.48907481519517,48.28654849308232,32.671056871943776,90.20748847289376,99.88968320917779,117.29,90.8,63.84365543991762,15.51,60.18906927749893
2017-02-10,201.40457342761042,120.41743045663345,126.44238845878758,48.39921710623285,32.97300748998392,90.19085729876527,99.8318144859746,117.6,92.0,64.2962840954037,15.67,60.230355937572675
2017-02-13,202.50073160929043,121.098075376784,126.77238164310805,48.59236330020518,33.07653341616912,90.0578079057374,99.51766998858581,116.8,90.56,64.31929911178435,15.47,60.31981036773244
2017-02-14,203.30978887463945,121.50457164854058,127.19403960085083,48.51993347746556,33.11104205823085,89.85823381619561,98.79844442877463,116.93,91.04,63.981745538201515,15.53,60.36109702780618
2017-02-15,204.37114167276056,122.22303017536613,127.95485722025633,48.705031913355704,33.37848403420926,89.71686883610349,98.34376160360664,117.45,90.88,63.766938718648795,15.53,60.38174035784305
2017-02-16,204.1971521632718,122.18521656869112,127.59736460390917,48.81770052650623,33.257703786993204,89.90812733858105,98.88111403335063,118.08,91.28,64.14285065286604,15.5,60.333572587757025
2017-02-17,204.51903323430437,122.71460706214154,127.51486630782907,48.68893639719134,33.11966921874628,90.10770142812285,99.4680682258402,117.68,91.12,64.26559740689616,15.45,60.395502577867624
2017-02-21,205.73698589954378,123.319624768942,128.51401233813266,48.849891558834955,33.48200996039446,90.0993858410586,99.29446205623061,117.75,92.32,65.08646632447261,15.53,60.59505476822403
2017-02-22,205.55428895444112,123.3668917772858,127.94569074291411,48.849891558834955,33.58553588657965,90.1575949505083,99.45980126538261,117.91,90.88,64.8716595049199,15.4,60.62257920827319
2017-02-23,205.69348525981937,122.90367509551668,127.18487312350861,48.954512413903295,33.59416304709508,90.30727551766465,99.7574118418562,118.94,92.24,65.20921307850274,15.47,60.67762808837151
2017-02-24,205.95447604875702,123.14001013723562,127.09320835008626,48.60041105828736,33.197313663385174,90.63989900023432,100.86518454317456,119.7,91.68,65.51607996357805,15.42,60.72579585845754
2017-02-27,206.2763579897502,123.29126456393573,128.33068279128796,48.63260209061608,33.09378773719998,90.47358725894948,100.26996339022739,119.12,91.76,65.86130520928776,15.4,60.801488068592725
2017-02-28,205.71958320776434,122.91312849718545,126.35072368536524,48.56017226787646,32.774582798128975,90.44864049775676,100.64197661081937,119.23,91.6,65.40867655380168,15.45,60.7533202985067
